Generation;Lower fitness;Higher fitness;Average fitness
283;203;1547,599976;961,9795949
284;203;1547,599976;938,2540131
285;203;1547,599976;965,5280832
286;203;1115,599976;948,1388726
287;203;1115,599976;943,588916
288;203;1115,599976;931,8856552
289;203;1562,179077;957,7041259
290;203;1227;963,7509467
291;203;1115,599976;908,2630596
292;203;1115,599976;942,7084934
293;38,3797226;1115,599976;994,6985155
294;203;1115,599976;956,443978
295;203;1115,599976;968,9746393
296;203;1259;980,2538051
297;203;1307;961,7051916
298;38,25005341;1115,599976;963,2932497
299;203;1115,599976;934,918971
300;203;1547,599976;936,9199163
301;203;1547,599976;979,423328
302;203;1547,599976;945,9777414
303;180,4878235;1115,599976;973,1985845
304;203;1115,599976;951,2666606
305;203;1115,599976;964,1850352
306;203;1115,599976;981,19446
307;203;1259,599976;904,3363369
308;203;1259,599976;917,8694313
309;203;1115,599976;899,5158108
310;203;1115,599976;894,6502672
311;203;1115,599976;929,9019338
312;203;1259;963,8119792
313;203;1115,599976;963,8535904
314;203;1227;945,1000047
315;29,2171669;1115,599976;907,6304739
316;203;1115,599976;972,8108891
317;203;1115,599976;959,8242584
318;203;1115,599976;911,927341
319;203;1115,599976;976,1127803
320;203;1547,599976;956,1368762
321;203;1547,599976;944,5211558
322;203;1560,569824;937,4541647
323;203;1547,599976;926,6979648
324;203;1547,599976;1025,761974
325;203;1547,599976;1179,654754
326;203;1547,599976;1183,181642
327;203;1547,599976;1248,516826
328;203;1547,599976;1266,440309
329;203;1547,599976;1305,045055
330;203;1547,599976;1263,314148
331;203;1547,599976;1294,309954
332;203;1547,599976;1295,825813
333;203;1547,599976;1309,040931
334;169,2530212;1547,599976;1060,281562
335;203;1547,599976;897,0795775
336;88,56525421;1547,599976;828,431047
337;41,63637924;1547,599976;726,9034949
338;44,17441177;1547,599976;668,9740756
339;38,050354;1547,599976;644,3360808
340;203;1547,599976;701,8244979
341;196,8834229;1547,599976;705,6026132
342;46,31522751;1547,599976;639,4835958
343;203;2038,466797;617,1071064
344;203;2943,867676;674,6884779
345;27,11683083;1547,599976;623,9550391
346;55,01313019;1547,599976;620,5026651
347;32;1547,599976;662,9489018
348;55,12079239;2949,703613;658,1881722
349;115,1985321;1547,599976;664,054984
350;35,08311844;1547;630,6742856
351;203;2038,466797;697,635164
352;203;2038,466797;677,254481
353;125,952301;2949,703613;709,3696554
354;195,0239258;2043,325439;677,8293377
355;203;1547;654,2579732
356;33,13399887;1547,599976;606,4100458
357;101,9683685;1547,599976;684,4954282
358;32;1547;662,3804977
359;39,81072235;2942,733887;675,293298
360;40,75967026;1259;623,8790607
361;20,60000038;1227;635,0363455
362;38,68064117;1571,174438;626,6535875
363;203;1115,599976;586,9660717
364;38,85082245;1115,599976;684,1331055
365;203;1571,174438;628,3772026
366;32;1547;638,8679161
367;185,7739716;1115,599976;680,5822284
368;203;1227;745,087757
369;44,74230194;1259,599976;716,1231698
370;203;1559,148926;723,8923026
371;203;1259,599976;718,5552149
372;203;1403,599976;683,9112929
373;203;2043,325439;733,1190509
374;41,66907883;1307;670,1414523
375;203;1227,599976;755,8540548
376;203;1547,599976;741,3598853
377;32;1560,569824;708,3805387
378;203;2747;753,5555266
379;203;2043;773,9694112
380;180,4878235;1547,599976;730,129024
381;202,4958496;2043,325439;764,364417
382;203;2038,915649;773,6904261
383;203;1227;730,5420225
384;203;1115,599976;818,0412079
385;203;1115,599976;777,0024681
386;203;1403,599976;807,6852542
387;203;1547;790,1294727
388;203;2942,733887;781,8822502
389;203;1115,599976;772,6657011
390;115,1985321;1115,599976;734,1463454
391;203;1227,599976;751,7979828
392;203;1067,673218;759,088844
393;37,6508255;1067,673218;804,9833327
394;115,1985321;1547;802,4289939
395;203;2231,83667;805,2769702
396;37,30685806;1259;783,5708496
397;203;1115,599976;747,0676901
398;202,4958496;2945,001709;812,253597
399;192,6052551;1259;800,9303203
400;203;2945,001709;765,6605226
401;203;1547;819,6186577
402;203;1611;779,2242845
403;203;1227,599976;825,9198946
404;203;1630,942261;775,9484488
405;203;1569,829346;797,0735259
406;203;1547;788,3982925
407;203;1227,599976;816,6857811
408;203;1115,599976;850,5982321
409;203;1115,599976;824,250744
410;203;2943,867676;837,7145286
411;203;2943,267578;831,1341757
412;202,4958496;1547;789,7748353
413;153,6122894;1259;819,2344272
414;203;1286,604858;811,6885549
415;203;1115;782,1530939
416;203;2037,789063;787,4701614
417;203;1547;797,3271483
418;125,952301;1259,599976;776,4681127
419;202,0052338;1227,599976;773,1709046
420;186,1126251;1560,569824;826,4458637
421;203;1560,569824;816,5629927
422;203;1547,599976;829,5682907
423;191,2416077;1611,599976;821,5615049
424;203;1227,599976;864,443839
425;38,85082245;1259;866,2875913
