Generation;Lower fitness;Higher fitness;Average fitness
121;32,0;2619,65087890625;1791,7175758926958
122;0,0;2619,65087890625;1845,4429574189362
123;0,0;2491,0;1849,532023881983
124;203,0;2491,0;1952,6617785418475
125;17,285863876342773;2491,0;1886,9229169704297
126;180,48782348632812;2491,0;1913,9657818264432
127;38,85082244873047;2491,0;1867,2296132688168
128;191,24160766601562;2491,0;1953,7287669994214
129;203,0;2619,65087890625;1979,6650277596932
130;32,0;2484,427490234375;1970,8991223088017
131;202,0418243408203;2427,136962890625;1932,3547071103696
132;0,0;2619,65087890625;1958,2791323626484
133;202,0418243408203;2619,65087890625;1951,8595370822482
134;189,25015258789062;2469,799560546875;1921,3918460987231
135;0,0;2619,65087890625;1810,1209628917552
136;203,0;2619,65087890625;2014,063611461498
137;0,0;2619,65087890625;1957,937941261574
138;203,0;2619,65087890625;2063,5975646972656
139;66,57172393798828;2630,29345703125;1983,581391426369
140;0,0;2491,0;1918,811176328306
141;66,57172393798828;2619,65087890625;1952,41244752672
142;0,0;2619,65087890625;1947,0325770907932
143;0,0;2619,65087890625;1990,046987971553
144;32,0;2619,65087890625;2105,8433832804362
145;49,285865783691406;2619,65087890625;2034,935058678521
146;66,57172393798828;2827,0;2064,8482922024195
147;66,57172393798828;2491,0;1957,1109508655688
148;77,57241821289062;2631,99169921875;2027,4018159654406
149;203,0;2619,65087890625;1998,0127249258535
150;203,0;2619,65087890625;1976,7364151566117
151;60,28656005859375;2636,353759765625;1916,7406162968389
152;38,85082244873047;2619,65087890625;2005,3528799268934
153;203,0;2619,65087890625;1980,9607595938223
154;66,57172393798828;2619,65087890625;1966,1264153657137
155;53,624244689941406;2619,65087890625;1970,564985289397
156;110,35792541503906;2619,65087890625;2007,990603185583
157;203,0;2619,65087890625;2086,8584360758464
158;4,286520004272461;2619,65087890625;2114,633419086315
159;0,0;2619,65087890625;2093,2054117838543
160;0,0;2619,65087890625;2104,207574575919
161;60,28656005859375;2619,65087890625;1958,5109741776077
162;203,0;2619,65087890625;2011,5181284586588
